Position,Company,Location,Job Link,Applied?,Date Applied,Status,Interest Level,Notes
"New Graduate Engineer, Starlink",Spacex,"Redmond, WA",https://www.linkedin.com/jobs/view/4360057478/,Yes,7/3/26,Interview Scheduled,High,"122-145K, this one is different than the other one"
Software Developer 1,Rocket,"Seattle, WA",https://careers.rocket.com/us/en/job/R-083083?utm_source=JobBoard-IndeedOrganic,Yes,07/03,Applied,Medium,
Software Engineer ,Starbucks,"Seattle, WA",https://apply.starbucks.com/careers/job/481078371803?hl=en&utm_source=linkedin_rtl_sup&utm_campaign=linkedin_rtl_sup&domain=starbucks.com&src=JB-12147,Yes,07/03,Interview Completed,Medium,
Application Software Engineer,Spacex,"Redmond, WA","Application Software Engineer, SpaceX, Redmond, WA",Yes,07/03,Applied,High,
Software Development Engineer,Amazon,"Seattle, WA",https://www.linkedin.com/jobs/view/4371234483/,Yes,07/03,Technical Exam Screening,Medium,I've heard horror stories from amazon. would be really cool though
Web Developer,Trigyn Technologies,"Bellevue, WA",https://jobs.smartrecruiters.com/TrigynTechnologies1/92563602-web-developer-html-javascript-nodejs-java?utm_source=ziprecruiter,Yes,07/03,Applied,Medium,I have a really good shot on this one I think
Software Developer,Novinium,"Kent, WA",https://www.ziprecruiter.com/job-redirect/share?match_token=CowBChZUeklsYk4tUWh4Q0J0VnpaZFRxS2RREiQwMTlmMDYxZS1lMzk5LTcxY2QtODY5OC05ZWFjMTk2ZTlhMGQaSEFBRnhROFQzQmVlVHFkTFVQUVg1NHg4Y2tFcU81MFBDM2IyVXlrcmpuWklib2RrOXFETC1wU1VlUlQ1SW1FZ2tLT09TamVGZiCo2AIQARjWrQU%3D&tsid=100000404,Yes,07/03,Applied,Low,"By far worst application portal and process so far, makes me judge them heavily"
Software Engineer,Constellation Space,"Seattle, WA",https://www.ziprecruiter.com/job-redirect/share?match_token=CowBChZka2p6bzl5cno2a3hjbmlJYTlXTnFBEiQwMTlmMTY3NS03NTg3LTc2OGYtOWM2MS1lNDJhZGUzMTk3MzgaSEFBSE5vc3l6cndQT3drWXVKWG1WMGlnUEJ3RDFMTzFsRWtnbHYyaXZzMFFMdnJXREMxS1FfeTQ5dUhiYTV5dVNyY2dBaE05cSCo2AIQARjWrQU%3D&tsid=100000404,,,,,
"Software Engineer, AMTS (College Grad)",Salesforce,"Seattle, WA (hybrid)",https://www.salesforce.com/company/careers/jobs/JR330400/software-engineering-amts-college-grad/,Yes,07/03,Applied,Medium,
"Software Engineer 1, Backend",Pinterest,"Seattle, WA (hybrid)","Software Engineer I, Backend, Seattle + 1 other locations | Pinterest Careers",Yes,07/03,Applied,Medium,
